Institution,Remains_Not_Made_Available,Remains_Made_Available,Percent_Made_Available
East Carolina Univ.,152,69,31.0
Beloit College,147,224,60.0
Univ. of Arkansas,143,3270,96.0
SUNY Univ. at Buffalo,143,34,19.0
Univ. of South Florida,142,100,41.0
"Cal. State, Long Beach",140,275,66.0
"Idaho State Historical Society, Archaeological Survey of Idaho",136,1,1.0
Univ. of Louisiana at Monroe,135,0,0.0
Graves Museum of Archaeology and Natural History,131,0,0.0
Georgia Dept. of Natural Resources,130,407,76.0
"Univ. of Wisconsin, Oshkosh",130,55,30.0
Autry Museum of the American West,123,76,38.0
North Museum of Nature and Science,120,0,0.0
Rochester Museum and Science Center,114,1548,93.0
Texas State Univ.,114,7,6.0
Hawaii Dept. of Land and Natural Resources,114,0,0.0
"Cal. State, Chico",112,547,83.0
Temple Univ.,112,9,7.0
Los Angeles County,103,0,0.0
Utah Dept. of Natural Resources,99,37,27.0
Western Reserve Historical Society,99,0,0.0
"Wake Forest Univ., Archeology Labs",98,0,0.0
Sarasota County History Center,93,0,0.0
Brown Univ.,90,22,20.0
Earlham College,89,2,2.0
California Dept. of Transportation,88,836,90.0
Minnesota Indian Affairs Council,86,1915,96.0
Univ. of Memphis,85,553,87.0
Filoli Center,85,0,0.0
Univ. of Wyoming,83,144,63.0
New York Univ.,82,163,67.0
Brigham Young Univ.,81,47,37.0
Charleston Museum,78,2,3.0
Indiana State Museum and Historic Sites Corporation,77,106,58.0
San Diego State Univ.,76,54,42.0
Oshkosh Public Museum,74,5,6.0
Allen County Museum and Historical Society,73,0,0.0
Univ. of Rhode Island,72,5,6.0
Buffalo Museum of Science,72,0,0.0
Museum of Northern Arizona,70,89,56.0
Bowers Museum,70,1,1.0
Tioga Point Museum,70,0,0.0
Robert S. Peabody Institute of Archaeology,67,2222,97.0
"Cal. State, Easy Bay",66,0,0.0
Southern Utah Univ. Archeological Repository,64,0,0.0
Oregon State Univ.,63,147,70.0
"South Dakota State Historical Society, State Archaeological Research Center",63,143,69.0
Lawrence Univ.,62,0,0.0
Trinidad State Junior College,62,0,0.0
Univ. of South Alabama,60,9,13.0
Southeast Missouri State Univ.,59,0,0.0
Neville Public Museum,55,53,49.0
Central Washington Univ.,53,322,86.0
Grand Rapids Public Museum,53,185,78.0
Museums of Western Colorado,53,0,0.0
Northwestern Univ.,53,0,0.0
"Mutter Museum, College of Physicians of Philadelphia",52,9,15.0
Northern Kentucky Univ.,52,0,0.0
"Univ. of Minnesota, Duluth",51,0,0.0
Dartmouth College,49,18,27.0
"Univ. of Wisconsin, La Crosse",49,0,0.0
Museum of Us,47,500,91.0
"Univ. of Texas, El Paso",47,0,0.0
Nevada State Museum,46,40,47.0
Univ. of Indianapolis,46,0,0.0
New Mexico State Univ. Museum,45,288,86.0
Hastings Museum,45,109,71.0
Univ. of Miami,45,0,0.0
"South Carolina Dept. of Parks, Recreation, and Tourism",44,0,0.0
New Mexico Highlands Univ.,42,0,0.0
Purdue Univ.,42,0,0.0
Portland State Univ.,41,38,48.0
Witte Museum,40,32,44.0
"St. Joseph Museums, Inc.",40,17,30.0
"Univ. of Colorado, Denver",40,0,0.0
Western Colorado Univ.,40,0,0.0
Carlsbad Museum,39,6,13.0
Case Western Reserve Univ.,39,5,11.0
Anniston Museum of Natural History,39,2,5.0
Brazos Valley Museum of Natural History,39,0,0.0
Museum of Osteopathic Medicine,39,0,0.0
"Cal. State, Northridge",38,0,0.0
History Nebraska,37,799,96.0
Louisiana State Univ.,36,1211,97.0
Univ. of Southern Mississippi,36,56,61.0
Stanford Univ. Heritage Services,36,12,25.0
San Bernardino County Museum,35,50,59.0
Memphis Pink Palace Museum,35,18,34.0
Cleveland State Univ.,35,1,3.0
Foothill-De Anza Community College District,35,0,0.0
Univ. of Oregon,34,546,94.0
Texas A and M Univ.,33,112,77.0
Wichita State Univ.,33,0,0.0
Eastern Arizona College Foundation,32,0,0.0
Univ. of the Incarnate Word,32,0,0.0
Springfield Science Museum,31,107,78.0
Sul Ross State Univ.,31,0,0.0
Michigan State Historic Preservation Office,30,27,47.0
Univ. of Nebraska State Museum,29,1992,99.0
Univ. of Iowa,29,1419,98.0
Oakland Museum of California,28,2,7.0
The History Museum,28,0,0.0
Heidelberg Univ.,27,0,0.0
Cranbrook Institute of Science,26,39,60.0
Houston Museum of Natural Science,26,0,0.0
Wagner Free Institute of Science,26,0,0.0
Western Illinois Univ.,26,0,0.0
Univ. of Montana,25,46,65.0
"Univ. of California, Santa Barbara",24,417,95.0
Santa Cruz Museum of Natural History,24,0,0.0
Georgia Southern Univ.,23,0,0.0
Augusta Museum of History,22,0,0.0
Idaho State Univ.,22,0,0.0
State of Alaska Medical Examiner Office,22,0,0.0
"Univ. of Missouri, St. Louis",21,0,0.0
Wayne State Univ.,20,92,82.0
"Louisiana Dept. of Culture, Recreation, and Tourism",20,11,35.0
Missouri State Univ.,20,0,0.0
No Man's Land Historical Society,20,0,0.0
Tennessee Valley Authority,19,14134,100.0
East Bay Municipal Utility District,19,31,62.0
"Cal. State, Bakersfield",19,14,42.0
Dept. of Energy,19,7,27.0
Kansas City Museum,18,2,10.0
Western Washington Univ.,17,62,78.0
Texas Parks and Wildlife,17,17,50.0
Poverty Point World Heritage Site,17,0,0.0
Louisiana State Exhibit Museum,16,0,0.0
Montana Historical Society,16,0,0.0
Tippecanoe County Historical Association,16,0,0.0
Missouri Historical Society,15,2,12.0
Auburn Univ. at Montgomery,15,0,0.0
Buffalo State College,15,0,0.0
Henry County Historical Society,15,0,0.0
Oregon Historical Society,14,1,7.0
New Harmony Workingmen's Institute,14,0,0.0
Univ. of West Florida,14,0,0.0
Heard Museum,13,35,73.0
Oklahoma Historical Society,12,0,0.0
Spratt-Mead Museum,12,0,0.0
Peabody Essex Museum,11,59,84.0
"Montana State Univ., Museum of the Rockies",11,7,39.0
Willamette Univ.,11,5,31.0
"Univ. of Nevada, Reno",11,2,15.0
"Montana State Univ., Bozeman",11,0,0.0
The Discovery Museum - Science and Space Center,11,0,0.0
Columbus Museum,10,68,87.0
Univ. of Central Missouri,10,6,38.0
San Diego Mesa College,10,0,0.0
Texas Historical Commission,10,0,0.0
Alaska Office of History and Archeology,9,8,47.0
Putnam Museum,9,6,40.0
Discovery Place,9,1,10.0
de Young Museum,9,0,0.0
Ohio Univ.,9,0,0.0
Phillip and Patricia Frost Museum of Science,9,0,0.0
U.S. Environmental Protection Agency,9,0,0.0
Washington Univ.,9,0,0.0
S'edav Va'aki Museum,8,362,98.0
Texas Dept. of Transportation,8,138,95.0
Univ. of Idaho,8,36,82.0
"Cal. Polytechnic State Univ., San Luis Obispo",8,0,0.0
Coryell County Sheriff's Dept.,8,0,0.0
Goodhue County Historical Society,8,0,0.0
Speed Art Museum,8,0,0.0
"Univ. of Wisconsin, Madison",7,166,96.0
Seton Hall Univ.,7,26,79.0
Kent State Univ.,7,16,70.0
"Cal. State, Monterey Bay",7,0,0.0
City of Oxnard,7,0,0.0
Clark County Historical Museum,7,0,0.0
San Mateo County Community College District,7,0,0.0
Univ. of Akron,7,0,0.0
Univ. of Northern Iowa,7,0,0.0
Univ. of Texas Permian Basin,7,0,0.0
Warren County Historical Society,7,0,0.0
Washington State Parks and Recreation Commission,6,24,80.0
"Cal. State, Fullerton",6,18,75.0
Filson Historical Society,6,13,68.0
Palmer Foundation for Chiropractic History,6,4,40.0
Univ. of Notre Dame,6,2,25.0
"Cal. State, Dominguez Hills",6,0,0.0
"Cal. State, Stanislaus",6,0,0.0
Fort Concho NHL,6,0,0.0
Grout Museum of History and Science,6,0,0.0
Kenosha Public Museum,6,0,0.0
Louisiana Dept. of Justice,6,0,0.0
Navajo County Coroner,6,0,0.0
New Jersey State Museum,5,209,98.0
Pennsylvania State Univ.,5,51,91.0
Mercyhurst Univ.,5,12,71.0
Maryland Center for History and Culture,5,3,38.0
Bridgewater College,5,1,17.0
College of Southern Idaho,5,1,17.0
St. Louis Science Center,5,1,17.0
Capital City Museum,5,0,0.0
Hardin County Historical Museums,5,0,0.0
Layland Museum,5,0,0.0
Richmond Museum of History,5,0,0.0
Rocky Ford Historical Museum,5,0,0.0
Triton Museum of Art,5,0,0.0
Fort Lewis College,4,164,98.0
Arizona Museum of Natural History,4,101,96.0
Museum of Natural History and Planetarium,4,14,78.0
Eastern California Museum,4,3,43.0
Buffalo Bill Center of the West,4,2,33.0
Brooklyn Museum,4,1,20.0
Cape Cod Museum of Natural History,4,0,0.0
"Columbia College, Yosemite Community College District",4,0,0.0
Goshen College,4,0,0.0
Koshare Indian Museum,4,0,0.0
Southern Oregon Univ.,4,0,0.0
West Valley College,4,0,0.0
"Univ. of Wisconsin, Milwaukee",3,85,97.0
Museum of Riverside,3,39,93.0
Utah State Univ.,3,16,84.0
"Kingman Museum, Inc.",3,7,70.0
High Desert Museum,3,4,57.0
Madison County Historical Society,3,1,25.0
Aurora Historical Society,3,0,0.0
College of the Ozarks,3,0,0.0
Fort Worth Museum of Science and History,3,0,0.0
Lackawanna Historical Society,3,0,0.0
Louisiana Cultural Heritage Museum,3,0,0.0
Loxahatchee Historical Society,3,0,0.0
Salisbury House,3,0,0.0
Santa Clara Univ.,3,0,0.0
Univ. of Southern Indiana,3,0,0.0
"Univ. of California, Los Angeles",2,2069,100.0
Santa Barbara Museum of Natural History,2,1049,100.0
"Cal. State, Fresno",2,160,99.0
Central Michigan Univ.,2,145,99.0
"Univ. of California, Riverside",2,41,95.0
Marshall Univ.,2,38,95.0
Broome County Historical Society,2,11,85.0
Klamath County Museum,2,10,83.0
Stamford Museum and Nature Center,2,8,80.0
Alaska State Museum,2,5,71.0
Hartwick College,2,4,67.0
Shiloh Museum of Ozark History,2,4,67.0
Kalamazoo Valley Museum,2,3,60.0
Indiana Univ. of Pennsylvania,2,2,50.0
Johnson-Humrickhouse Museum,2,2,50.0
Alma College,2,1,33.0
Artesia Historical Museum and Art Center,2,1,33.0
Chemung County Historical Society,2,1,33.0
McWane Science Center,2,1,33.0
City of Oakland Rotary Nature Center,2,0,0.0
Fellow-Reeve Museum of History and Science,2,0,0.0
Maine Historical Society,2,0,0.0
"Pima Community College, Centre for Archaeological Field Training",2,0,0.0
Rutgers Univ.,2,0,0.0
Rutgers Univ.,2,0,0.0
Sharlot Hall Museum,2,0,0.0
Stuhr Museum of the Prairie Pioneer,2,0,0.0
The Heritage Museum of the Texas Hill Country,2,0,0.0
"Univ. of Tennessee, Chattanooga",2,0,0.0
Washington County Historical Society,2,0,0.0
Western New Mexico Univ. Museum,2,0,0.0
Worcester Historical Museum,2,0,0.0
"Cal. State, Sacramento",1,1707,100.0
"Univ. of Alaska, Anchorage",1,126,99.0
Univ. of Tulsa,1,51,98.0
Colgate Univ.,1,41,98.0
Univ. of the Pacific,1,32,97.0
Northwestern State Univ. of Louisiana,1,11,92.0
Dept. of Justice,1,9,90.0
Raymond M. Alf Museum of Paleontology,1,8,89.0
Saint Martin's Univ. Waynick Museum,1,8,89.0
Minnesota Historical Society,1,4,80.0
New Hampshire Division of Historical Resources,1,4,80.0
Staten Island Institute of Arts and Sciences,1,4,80.0
Cornell Univ.,1,3,75.0
Fort Hays State Univ.,1,2,67.0
Bonanzaville,1,1,50.0
Mabee-Gerrer Museum of Art,1,1,50.0
Morris Museum,1,1,50.0
Palo Alto Junior Museum and Zoo,1,1,50.0
Benton County Historical Society,1,0,0.0
Bixby Memorial Library,1,0,0.0
Cass County Historical Society Museum,1,0,0.0
City of Marietta,1,0,0.0
"City of Santa Clara, Headen-Inman House",1,0,0.0
Crocker Art Museum,1,0,0.0
Dallas Historical Society,1,0,0.0
Davis and Elkins College,1,0,0.0
Everhart Museum,1,0,0.0
Fairbanks Museum and Planetarium,1,0,0.0
Fort Smith Museum of History,1,0,0.0
Fredericksburg Area Museum,1,0,0.0
Georgetown Univ.,1,0,0.0
Georgia Power,1,0,0.0
Grayson County Frontier Village Museum,1,0,0.0
Hobart and William Smith Colleges,1,0,0.0
Hutchinson County Historical Museum,1,0,0.0
Lane County Historical Museum,1,0,0.0
Meeteetse Museums,1,0,0.0
Miami County Museum,1,0,0.0
Miami-Dade County,1,0,0.0
Newark Museum,1,0,0.0
Oneida County Historical Society,1,0,0.0
Pember Library and Museum,1,0,0.0
Pierce County Medical Examiner's Office,1,0,0.0
Pocumtuck Valley Memorial Association,1,0,0.0
"Sullivan County Historical Society, Inc.",1,0,0.0
Tread of Pioneers Museum,1,0,0.0
"Univ. of Alabama, Birmingham",1,0,0.0
Univ. of Vermont,1,0,0.0
Wichita County Sherriff's Office,1,0,0.0
Bernice P. Bishop Museum,0,1636,100.0
History Colorado,0,1186,100.0
Univ. of Colorado Museum,0,695,100.0
Michigan State Univ.,0,544,100.0
"Univ. of California, San Diego",0,486,100.0
San Jose State Univ.,0,479,100.0
Southern Methodist Univ.,0,387,100.0
"Catalina Island Museum Society, Inc.",0,369,100.0
Florida Atlantic Univ.,0,336,100.0
Vanderbilt Univ.,0,294,100.0
Univ. of Washington,0,284,100.0
School for Advanced Research,0,263,100.0
State Historical Society of Iowa,0,221,100.0
Fernbank Museum of Natural History,0,217,100.0
"Univ. of Minnesota, Twin Cities",0,198,100.0
Salmon Ruins Museum,0,195,100.0
HistoryMiami Museum,0,188,100.0
"Univ. of Massachusetts, Amherst",0,186,100.0
Ojai Valley Historical Society and Museum,0,180,100.0
Univ. of Denver,0,170,100.0
Kansas State Univ.,0,166,100.0
Denver Museum of Nature and Science,0,159,100.0
College of William and Mary,0,158,100.0
Arkansas State Univ. Museum,0,157,100.0
Grand Valley State Univ.,0,154,100.0
Arkansas Highway and Transportation Dept.,0,133,100.0
Alabama Dept. of Archives & History,0,115,100.0
"Univ. of Nevada, Las Vegas",0,113,100.0
Eastern Washington Univ.,0,107,100.0
Baylor Univ.,0,105,100.0
Rome Historical Society,0,87,100.0
Washington State Univ.,0,83,100.0
Colorado State Univ.,0,79,100.0
Murray State Univ.,0,79,100.0
Western Michigan Univ.,0,79,100.0
Maine State Museum,0,76,100.0
Bishop Museum of Science and Nature,0,68,100.0
Northwest Museum of Arts and Culture,0,64,100.0
"Whitman College, Maxey Museum",0,62,100.0
Animas Museum,0,61,100.0
Univ. of North Dakota,0,57,100.0
Gregg County Historical Museum,0,51,100.0
Bess Bower Dunn Museum,0,48,100.0
Alabama Dept. of Transportation,0,45,100.0
Colorado College,0,45,100.0
"SUNY, College at Oswego",0,43,100.0
Stephen F. Austin State Univ.,0,42,100.0
Indiana University-Purdue University Fort Wayne-Archaeological Survey,0,38,100.0
Wesleyan Univ.,0,38,100.0
Sydney L. Wright Museum,0,37,100.0
Hamilton County Dept. of Parks and Recreation,0,34,100.0
Indiana Dept. of Natural Resources,0,33,100.0
Pierce College,0,31,100.0
Univ. of Maine,0,31,100.0
Univ. of Northern Colorado,0,31,100.0
Fort Ticonderoga,0,30,100.0
"SUNY, Univ. at Albany",0,30,100.0
"Univ. of California, Santa Cruz",0,29,100.0
Columbus State Univ.,0,28,100.0
"SUNY, Binghamton",0,28,100.0
Univ. of Puget Sound,0,27,100.0
Alutiiq Museum and Archaeological Repository,0,23,100.0
Detroit Institute of Arts,0,23,100.0
Georgia State Univ.,0,23,100.0
State Center Community College District - Fresno City College,0,22,100.0
Jacksonville State Univ.,0,21,100.0
Kutztown Univ. of Pennsylvania,0,21,100.0
Historical Society of Saginaw County,0,20,100.0
Princeton Univ.,0,20,100.0
Fort Collins Museum of Discovery,0,19,100.0
Pittsburg State Univ.,0,19,100.0
San Diego Archaeological Center,0,19,100.0
Science Museum of Minnesota,0,19,100.0
Bruce Museum,0,18,100.0
Los Angeles Pierce College,0,18,100.0
State Center Community College District - Reedly College,0,18,100.0
Univ. of Connecticut,0,17,100.0
Diablo Valley College,0,16,100.0
Lost City Museum,0,16,100.0
Oregon Parks and Recreation Department,0,16,100.0
Dept. of State,0,16,100.0
"Arkansas Dept. of Parks and Tourism, Toltec Mounds Archeological Park",0,15,100.0
Carter County Museum,0,15,100.0
Michigan State Police,0,15,100.0
Museum of the American Indian,0,15,100.0
Cochise College,0,14,100.0
Columbia Univ.,0,14,100.0
Pratt Museum,0,14,100.0
Vassar College,0,14,100.0
Antelope Valley College,0,13,100.0
"Kikuchi Center, Kaua'i Community College",0,13,100.0
Metropolitan State Univ. of Denver,0,13,100.0
Michigan Dept. of Transportation,0,13,100.0
Washington State Historical Society,0,13,100.0
Indiana Dept. of Transportation,0,12,100.0
Univ. of New Hampshire,0,12,100.0
Weber State Univ.,0,12,100.0
Franklin Pierce University,0,11,100.0
Michigan History Center,0,11,100.0
Univ. of Hawai'i at Hilo,0,11,100.0
Amherst College,0,10,100.0
Culver-Stockton College,0,10,100.0
Dallas Water Utilities,0,10,100.0
Karshner Museum,0,10,100.0
Nevada Historical Society,0,10,100.0
"New York State Office of Parks, Recreation and Historic Preservation",0,10,100.0
"Allen County Museum, Fort Wayne Historical Society",0,9,100.0
Besser Museum for Northeast Michigan,0,9,100.0
Florida Dept. of Transportation,0,9,100.0
Lakeshore Museum Center,0,9,100.0
Oregon Health & Sciences Univ.,0,9,100.0
Sloan Museum,0,9,100.0
Virginia Commonwealth Univ.,0,9,100.0
American Univ.,0,8,100.0
Chadron State College,0,8,100.0
City of Evansville Water and Sewer Utility,0,8,100.0
City of Larsen Bay,0,8,100.0
County of Nacogdoches,0,8,100.0
Michigan Dept. of Natural Resources,0,8,100.0
Museum of Ojibwa Culture and Marquette Mission Park - City of St. Ignace,0,8,100.0
Northern Arizona Univ.,0,8,100.0
"SUNY, New Paltz",0,8,100.0
Toledo Zoological Society,0,8,100.0
Abbe Museum,0,7,100.0
Appalachian State Univ.,0,7,100.0
Coe College,0,7,100.0
"Colorado Archaeological Society, Denver Chapter",0,7,100.0
Albuquerque Museum,0,6,100.0
"Cal. State, Los Angeles",0,6,100.0
MetroParks of the Toledo Area,0,6,100.0
Placer County Museums,0,6,100.0
Sheboygan County Historical Museum,0,6,100.0
Arizona State Land Dept.,0,5,100.0
Coachella Valley History Museum,0,5,100.0
Douglas County Public Utility District,0,5,100.0
Fruitlands Museums,0,5,100.0
Northern Illinois Univ.,0,5,100.0
Pomona College,0,5,100.0
"Rice Univ., Dept. of Anthropology",0,5,100.0
Sul Ross State Univ.,0,5,100.0
Univ. of Virginia,0,5,100.0
Anchorage Museum,0,4,100.0
Berkshire Museum,0,4,100.0
Catholic Univ. of America,0,4,100.0
Colorado Springs Pioneers Museum,0,4,100.0
Dickinson State Univ.,0,4,100.0
Greater Amsterdam School District,0,4,100.0
Historic Westville,0,4,100.0
Idaho Dept. of Transportation,0,4,100.0
Lindsay Wildlife Museum,0,4,100.0
Los Rios Community College District,0,4,100.0
Oberlin College,0,4,100.0
Pacific Lutheran Univ.,0,4,100.0
Seminole Tribe of Florida,0,4,100.0
Syracuse Univ.,0,4,100.0
Valentine Museum,0,4,100.0
"Virginia Dept. of Conservation and Recreation, Division of State Parks",0,4,100.0
Wistar Institute,0,4,100.0
Boston Univ.,0,3,100.0
Brooklyn Children's Museum,0,3,100.0
Bryn Mawr College,0,3,100.0
City of Saugatuck,0,3,100.0
Colorado Bureau of Investigation,0,3,100.0
Georgia Dept. of Transportation,0,3,100.0
Kodiak History Museum,0,3,100.0
Madison County Coroner's Office,0,3,100.0
Manchester Historical Society,0,3,100.0
Outagamie County Historical Society,0,3,100.0
Pima County Office of the Medical Examiner,0,3,100.0
Pioneer Historical Society of Bent County,0,3,100.0
"Pioneer Museum, Blue Licks Battlefield State Resort Park",0,3,100.0
Plimoth Patuxet Museum,0,3,100.0
Robbins Museum of Archaeology,0,3,100.0
Schiele Museum of Natural History,0,3,100.0
Texarkana Museums System,0,3,100.0
Univ. of San Diego,0,3,100.0
Virginia Living Museum,0,3,100.0
"Warren County Cultural and Heritage Commission, Shippen Manor",0,3,100.0
Wasco County Dalles City Museum Commission,0,3,100.0
Arizona Capitol Museum,0,2,100.0
Augusta State Univ.,0,2,100.0
Aurora History Museum and Historic Sites,0,2,100.0
Birmingham Museum of Art,0,2,100.0
Boston Children's Museum,0,2,100.0
Cape Girardeau County Sheriff's Office,0,2,100.0
Chelan County Public Utilities District,0,2,100.0
Children's Museum of Oak Ridge,0,2,100.0
City of Traverse City,0,2,100.0
Columbia Gorge Discovery Center and Museum,0,2,100.0
Cosumnes River College,0,2,100.0
Cumberland Univ.,0,2,100.0
Emory Univ.,0,2,100.0
Evanston History Center,0,2,100.0
Hawai'i Maritime Center,0,2,100.0
Historic Hugeuenot Street,0,2,100.0
John Michael Kohler Arts Center,0,2,100.0
Kamehameha Schools,0,2,100.0
Kentucky Historical Society,0,2,100.0
Kitsap County Coroner's Office,0,2,100.0
Moravian Historical Society,0,2,100.0
Museum of the Great Plains,0,2,100.0
Northwest Christian College,0,2,100.0
Oregon Museum of Science and Industry,0,2,100.0
Pejepscot Historical Society,0,2,100.0
Pilgrim Hall Museum,0,2,100.0
Reading Public Museum,0,2,100.0
SUNY Broome Community College,0,2,100.0
San Bernardino County Sherriff-Coroner,0,2,100.0
San Luis Obispo County Archaeological Society,0,2,100.0
Southern Oregon Historical Society,0,2,100.0
Southwestern College,0,2,100.0
St. Louis County Office of the Medical Examiner,0,2,100.0
State Historical Society of North Dakota,0,2,100.0
Tioga County Historical Society,0,2,100.0
Dept. of Homeland Security,0,2,100.0
Univ. of West Georgia,0,2,100.0
"Univ. of Wisconsin, Stevens Point",0,2,100.0
Washington State Dept of Natural Resources,0,2,100.0
Adams State Univ.,0,1,100.0
Arizona State Parks and Trails,0,1,100.0
Athens County Historical Society and Museum,0,1,100.0
Bay County Historical Society,0,1,100.0
Berrien County Sheriff's Office,0,1,100.0
Buffalo Bill Museum and Grave,0,1,100.0
California Academy of Sciences,0,1,100.0
Central Methodist Univ.,0,1,100.0
"Charles Whipple Green Museum, George Hail Library",0,1,100.0
Chicago History Museum,0,1,100.0
Clarke Historical Museum,0,1,100.0
Dalton State College,0,1,100.0
Dana Adobe Nipomo Amigos,0,1,100.0
Delta County Historical Society Museum,0,1,100.0
Denver Art Museum,0,1,100.0
Ecotarium,0,1,100.0
Florence Indian Mound Museum,0,1,100.0
Folsom History Museum,0,1,100.0
Fremont County Coroner,0,1,100.0
Geneva Historical Society,0,1,100.0
Gettysburg Foundation,0,1,100.0
History Museum on the Square,0,1,100.0
Kerr County,0,1,100.0
Lambertville Historical Society,0,1,100.0
Library Company of Philadelphia,0,1,100.0
Michigan Technological Univ.,0,1,100.0
Minneapolis Institute of Art,0,1,100.0
Montclair Art Museum,0,1,100.0
Monterey Peninsula College,0,1,100.0
Mount Holyoke College Art Museum,0,1,100.0
Museum of Science Boston,0,1,100.0
Perry County Coroner's Office,0,1,100.0
Port Huron Museum,0,1,100.0
Renton History Museum,0,1,100.0
Rhinelander High School,0,1,100.0
Rhode Island Historical Society,0,1,100.0
"SUNY, Potsdam",0,1,100.0
Sabine River Authority of Texas,0,1,100.0
Safety Harbor Museum of Natural History,0,1,100.0
"Sandusky Library, Follett House Museum",0,1,100.0
Seneca Falls Historical Society,0,1,100.0
Sierra Mono Museum,0,1,100.0
Sioux City Public Museum,0,1,100.0
St Joseph County Sheriff's Dept.,0,1,100.0
St. Lawrence Univ.,0,1,100.0
Stoddard County Sheriff's Office,0,1,100.0
The Region of Three Oaks Museum,0,1,100.0
Town of Germantown,0,1,100.0
Univ. of Southern California,0,1,100.0
"Univ. of North Carolina, Charlotte",0,1,100.0
Wickliffe Mounds State Historic Site,0,1,100.0
Wistariahurst Museum,0,1,100.0
